reaction,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
R10499,L-phenylalanine:2-oxo-acid aminotransferase; L-Phenylalanine + 2-Oxo acid <=> Phenylpyruvate + L-Amino acid,C00079 + C00161 <=> C00166 + C00151,L-Phenylalanine + 2-Oxo acid <=> Phenylpyruvate + L-Amino acid,['2.6.1.-'],C00079;C00161,C00166;C00151,1.0;1.0,1.0;1.0
R10500,"acetyl-CoA:phenylpyruvate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); Phenylpyruvate + Acetyl-CoA + H2O <=> 2-Benzylmalic acid + CoA",C00166 + C00024 + C00001 <=> C20653 + C00010,Phenylpyruvate + Acetyl-CoA + H2O <=> 2-Benzylmalic acid + CoA,['2.3.3.-'],C00166;C00024;C00001,C20653;C00010,1.0;1.0;1.0,1.0;1.0
R10501,2-benzylmalate hydro-lyase (3-benzylmalate-forming); 2-Benzylmalic acid <=> 3-Benzylmalic acid,C20653 <=> C20654,2-Benzylmalic acid <=> 3-Benzylmalic acid,['4.2.1.-'],C20653,C20654,1.0,1.0
R10502,3-benzylmalate:NAD+ oxidoreductase (decarboxylating); 3-Benzylmalic acid + NAD+ <=> 2-Oxo-4-phenylbutyric acid + CO2 + NADH + H+,C20654 + C00003 <=> C20327 + C00011 + C00004 + C00080,3-Benzylmalic acid + NAD+ <=> 2-Oxo-4-phenylbutyric acid + CO2 + NADH + H+,['1.1.1.-'],C20654;C00003,C20327;C00011;C00004;C00080,1.0;1.0,1.0;1.0;1.0;1.0
R10503,L-amino acid:2-oxo-4-phenylbutyric-acid aminotransferase; 2-Oxo-4-phenylbutyric acid + L-Amino acid <=> L-Homophenylalanine + 2-Oxo acid,C20327 + C00151 <=> C17235 + C00161,2-Oxo-4-phenylbutyric acid + L-Amino acid <=> L-Homophenylalanine + 2-Oxo acid,['2.6.1.-'],C20327;C00151,C17235;C00161,1.0;1.0,1.0;1.0
R10504,"meso-2,3-butanediol:NAD+ oxidoreductase [(S)-acetoin forming]; meso-2,3-Butanediol + NAD+ <=> (S)-Acetoin + NADH + H+",C20657 + C00003 <=> C01769 + C00004 + C00080,"meso-2,3-Butanediol + NAD+ <=> (S)-Acetoin + NADH + H+",['1.1.1.-'],C20657;C00003,C01769;C00004;C00080,1.0;1.0,1.0;1.0;1.0
R10505,"meso-2,3-butanediol:NAD+ oxidoreductase [(R)-acetoin forming]; meso-2,3-Butanediol + NAD+ <=> (R)-Acetoin + NADH + H+",C20657 + C00003 <=> C00810 + C00004 + C00080,"meso-2,3-Butanediol + NAD+ <=> (R)-Acetoin + NADH + H+",['1.1.1.-'],C20657;C00003,C00810;C00004;C00080,1.0;1.0,1.0;1.0;1.0
R10506,(S)-2-Acetolactate + Acceptor <=> Diacetyl + CO2 + Reduced acceptor,C06010 + C00028 <=> C00741 + C00011 + C00030,(S)-2-Acetolactate + Acceptor <=> Diacetyl + CO2 + Reduced acceptor,,C06010;C00028,C00741;C00011;C00030,1.0;1.0,1.0;1.0;1.0
R10507,L-proline:(acceptor) oxidoreductase; L-Proline + FAD <=> (S)-1-Pyrroline-5-carboxylate + FADH2,C00148 + C00016 <=> C03912 + C01352,L-Proline + FAD <=> (S)-1-Pyrroline-5-carboxylate + FADH2,['1.5.-.-'],C00148;C00016,C03912;C01352,1.0;1.0,1.0;1.0
R10508,"lycopene cyclase; 3,4-Dehydrolycopene <=> Torulene",C15867 <=> C08613,"3,4-Dehydrolycopene <=> Torulene",['5.5.1.19'],C15867,C08613,1.0,1.0
R10509,(-)-bornyl-diphosphate lyase (decyclizing); Geranyl diphosphate <=> (-)-Bornyl diphosphate,C00341 <=> C20664,Geranyl diphosphate <=> (-)-Bornyl diphosphate,['5.5.1.22'],C00341,C20664,1.0,1.0
R10510,"protoheme,hydrogen-donor:oxygen oxidoreductase (beta-methene-oxidizing, hydroxylating); Heme + 5 Reduced acceptor + 4 Oxygen <=> 15-Oxo-beta-bilirubin + Fe2+ + Formaldehyde + 5 Acceptor + 4 H2O",C00032 + 5 C00030 + 4 C00007 <=> C20667 + C14818 + C00067 + 5 C00028 + 4 C00001,Heme + 5 Reduced acceptor + 4 Oxygen <=> 15-Oxo-beta-bilirubin + Fe2+ + Formaldehyde + 5 Acceptor + 4 H2O,['1.14.99.48'],C00032;C00030;C00007,C20667;C14818;C00067;C00028;C00001,1.0;5.0;4.0,1.0;1.0;1.0;5.0;4.0
R10511,testosterone monooxygenase (17beta-estradiol-forming); Testosterone + 3 Oxygen + 3 [Reduced NADPH---hemoprotein reductase] <=> Estradiol-17beta + Formate + 4 H2O + 3 [Oxidized NADPH---hemoprotein reductase],C00535 + 3 C00007 + 3 C03024 <=> C00951 + C00058 + 4 C00001 + 3 C03161,Testosterone + 3 Oxygen + 3 [Reduced NADPH---hemoprotein reductase] <=> Estradiol-17beta + Formate + 4 H2O + 3 [Oxidized NADPH---hemoprotein reductase],['1.14.14.14'],C00535;C00007;C03024,C00951;C00058;C00001;C03161,1.0;3.0;3.0,1.0;1.0;4.0;3.0
R10512,"hydrogen sulfide,polysulfide:NADP+ oxidoreductase; Hydrogen sulfide + Polysulfide(n) + NADP+ <=> Polysulfide(n+1) + NADPH + H+",C00283 + C19692(n) + C00006 <=> C19692(n+1) + C00005 + C00080,Hydrogen sulfide + Polysulfide(n) + NADP+ <=> Polysulfide(n+1) + NADPH + H+,['1.8.1.19'],C00283;C19692(n);C00006,C19692(n+1);C00005;C00080,1.0;1.0;1.0,1.0;1.0;1.0
R10514,"acetyl-CoA:GDP-4-amino-4,6-dideoxy-alpha-D-mannose N-acetyltransferase; Acetyl-CoA + GDP-4-amino-4,6-dideoxy-alpha-D-mannose <=> CoA + GDP-4-acetamido-4,6-dideoxy-alpha-D-mannose",C00024 + C20638 <=> C00010 + C20672,"Acetyl-CoA + GDP-4-amino-4,6-dideoxy-alpha-D-mannose <=> CoA + GDP-4-acetamido-4,6-dideoxy-alpha-D-mannose",['2.3.1.227'],C00024;C20638,C00010;C20672,1.0;1.0,1.0;1.0
R10515,"androst-4-ene-3,17-dione monooxygenase (estrone-forming); Androstenedione + 3 Oxygen + 3 [Reduced NADPH---hemoprotein reductase] <=> Estrone + Formate + 4 H2O + 3 [Oxidized NADPH---hemoprotein reductase]",C00280 + 3 C00007 + 3 C03024 <=> C00468 + C00058 + 4 C00001 + 3 C03161,Androstenedione + 3 Oxygen + 3 [Reduced NADPH---hemoprotein reductase] <=> Estrone + Formate + 4 H2O + 3 [Oxidized NADPH---hemoprotein reductase],['1.14.14.14'],C00280;C00007;C03024,C00468;C00058;C00001;C03161,1.0;3.0;3.0,1.0;1.0;4.0;3.0
R10516,"2-oxocarboxylate:ferredoxin 2-oxidoreductase (decarboxylating, CoA-acylating); 2-Oxo acid + CoA + 2 Oxidized ferredoxin <=> Acyl-CoA + CO2 + 2 Reduced ferredoxin + 2 H+",C00161 + C00010 + 2 C00139 <=> C00040 + C00011 + 2 C00138 + 2 C00080,2-Oxo acid + CoA + 2 Oxidized ferredoxin <=> Acyl-CoA + CO2 + 2 Reduced ferredoxin + 2 H+,['1.2.7.11'],C00161;C00010;C00139,C00040;C00011;C00138;C00080,1.0;1.0;2.0,1.0;1.0;2.0;2.0
R10517,NADH:oxygen oxidoreductase (H2O-forming); 2 NADH + 2 H+ + Oxygen <=> 2 NAD+ + 2 H2O,2 C00004 + 2 C00080 + C00007 <=> 2 C00003 + 2 C00001,2 NADH + 2 H+ + Oxygen <=> 2 NAD+ + 2 H2O,"['1.6.3.2', ' 1.6.3.4']",C00004;C00080;C00007,C00003;C00001,2.0;2.0;1.0,2.0;2.0
R10518,NADPH:oxygen oxidoreductase (H2O-forming); 2 NADPH + 2 H+ + Oxygen <=> 2 NADP+ + 2 H2O,2 C00005 + 2 C00080 + C00007 <=> 2 C00006 + 2 C00001,2 NADPH + 2 H+ + Oxygen <=> 2 NADP+ + 2 H2O,['1.6.3.2'],C00005;C00080;C00007,C00006;C00001,2.0;2.0;1.0,2.0;2.0
R10519,D-glucose-6-phosphate:NAD+ oxidoreductase; D-Glucose 6-phosphate + NAD+ <=> 3-Dehydro-D-glucose 6-phosphate + NADH + H+,C00092 + C00003 <=> C20668 + C00004 + C00080,D-Glucose 6-phosphate + NAD+ <=> 3-Dehydro-D-glucose 6-phosphate + NADH + H+,['1.1.1.361'],C00092;C00003,C20668;C00004;C00080,1.0;1.0,1.0;1.0;1.0
R10520,"D-glucose-6-phosphate:NAD+ 1-oxidoreductase; D-Glucose 6-phosphate + NAD+ <=> D-Glucono-1,5-lactone 6-phosphate + NADH + H+",C00092 + C00003 <=> C01236 + C00004 + C00080,"D-Glucose 6-phosphate + NAD+ <=> D-Glucono-1,5-lactone 6-phosphate + NADH + H+",['1.1.1.363       1.1.1.388'],C00092;C00003,C01236;C00004;C00080,1.0;1.0,1.0;1.0;1.0
R10521,"2-amino-5-chlorophenol:oxygen 1,6-oxidoreductase (decyclizing); 2-Amino-5-chlorophenol + Oxygen <=> 2-Amino-5-chloromuconate 6-semialdehyde",C20669 + C00007 <=> C20670,2-Amino-5-chlorophenol + Oxygen <=> 2-Amino-5-chloromuconate 6-semialdehyde,['1.13.11.76'],C20669;C00007,C20670,1.0;1.0,1.0
R10522,"tRNAPhe 7-(3-amino-3-carboxypropyl)wyosine37,2-oxoglutarate:oxygen oxidoreductase (2-hydroxylating); 7-[(3S)-(3-Amino-3-carboxypropyl)]wyosine in tRNA(Phe) + 2-Oxoglutarate + Oxygen <=> 7-(2-Hydroxy-3-amino-3-carboxypropyl)wyosine in tRNA(Phe) + Succinate + CO2",C20649 + C00026 + C00007 <=> C20661 + C00042 + C00011,7-[(3S)-(3-Amino-3-carboxypropyl)]wyosine in tRNA(Phe) + 2-Oxoglutarate + Oxygen <=> 7-(2-Hydroxy-3-amino-3-carboxypropyl)wyosine in tRNA(Phe) + Succinate + CO2,['1.14.11.42'],C20649;C00026;C00007,C20661;C00042;C00011,1.0;1.0;1.0,1.0;1.0;1.0
R10523,S-adenosyl-L-methionine:L-histidine Nalpha-methyltransferase; S-Adenosyl-L-methionine + L-Histidine <=> S-Adenosyl-L-homocysteine + Nalpha-Methylhistidine,C00019 + C00135 <=> C00021 + C03298,S-Adenosyl-L-methionine + L-Histidine <=> S-Adenosyl-L-homocysteine + Nalpha-Methylhistidine,['2.1.1.44'],C00019;C00135,C00021;C03298,1.0;1.0,1.0;1.0
R10524,"S-adenosyl-L-methionine:Nalpha-methyl-L-histidine Nalpha-methyltransferase; S-Adenosyl-L-methionine + Nalpha-Methylhistidine <=> S-Adenosyl-L-homocysteine + N,N-Dimethylhistidine",C00019 + C03298 <=> C00021 + C04259,"S-Adenosyl-L-methionine + Nalpha-Methylhistidine <=> S-Adenosyl-L-homocysteine + N,N-Dimethylhistidine",['2.1.1.44'],C00019;C03298,C00021;C04259,1.0;1.0,1.0;1.0
R10525,"NDP-alpha-D-glucose:D-glucose 1-alpha-D-glucosyltransferase; NDP-glucose + D-Glucose <=> alpha,alpha-Trehalose + NDP",C15541 + C00031 <=> C01083 + C00454,"NDP-glucose + D-Glucose <=> alpha,alpha-Trehalose + NDP",['2.4.1.245'],C15541;C00031,C01083;C00454,1.0;1.0,1.0;1.0
R10526,"isovaleryl-CoA:S-adenosyl-L-methionine isovaleryltranserase (lactone-forming, methylthioadenosine-releasing); 3-Methylbutanoyl-CoA + S-Adenosyl-L-methionine <=> CoA + 5'-Methylthioadenosine + N-Isovaleryl-L-homoserine lactone",C02939 + C00019 <=> C00010 + C00170 + C20673,3-Methylbutanoyl-CoA + S-Adenosyl-L-methionine <=> CoA + 5'-Methylthioadenosine + N-Isovaleryl-L-homoserine lactone,['2.3.1.228'],C02939;C00019,C00010;C00170;C20673,1.0;1.0,1.0;1.0;1.0
R10527,"(S)-2-(4-chloro-2-methylphenoxy)propanoate,2-oxoglutarate:oxygen oxidoreductase (pyruvate-forming); (S)-2-(4-Chloro-2-methylphenoxy)propanoate + 2-Oxoglutarate + Oxygen <=> 4-Chloro-2-methylphenol + Pyruvate + Succinate + CO2",C20686 + C00026 + C00007 <=> C03359 + C00022 + C00042 + C00011,(S)-2-(4-Chloro-2-methylphenoxy)propanoate + 2-Oxoglutarate + Oxygen <=> 4-Chloro-2-methylphenol + Pyruvate + Succinate + CO2,['1.14.11.43'],C20686;C00026;C00007,C03359;C00022;C00042;C00011,1.0;1.0;1.0,1.0;1.0;1.0;1.0
R10528,(R)-2-hydroxycarboxylate:NADP+ oxidoreductase; (R)-2-Hydroxyacid + NADP+ <=> 2-Oxo acid + NADPH + H+,C02489 + C00006 <=> C00161 + C00005 + C00080,(R)-2-Hydroxyacid + NADP+ <=> 2-Oxo acid + NADPH + H+,['1.1.1.272'],C02489;C00006,C00161;C00005;C00080,1.0;1.0,1.0;1.0;1.0
R10529,"4-coumaroyl-CoA:S-adenosyl-L-methionine trans-4-coumaroyltranserase (lactone-forming, methylthioadenosine-releasing); p-Coumaroyl-CoA + S-Adenosyl-L-methionine <=> CoA + 5'-Methylthioadenosine + N-(4-Coumaroyl)-L-homoserine lactone",C00223 + C00019 <=> C00010 + C00170 + C20677,p-Coumaroyl-CoA + S-Adenosyl-L-methionine <=> CoA + 5'-Methylthioadenosine + N-(4-Coumaroyl)-L-homoserine lactone,['2.3.1.229'],C00223;C00019,C00010;C00170;C20677,1.0;1.0,1.0;1.0;1.0
R10530,protodioscin glucohydrolase; Protodioscin + H2O <=> 26-Deglucoprotodioscin + D-Glucose,C08907 + C00001 <=> C20678 + C00031,Protodioscin + H2O <=> 26-Deglucoprotodioscin + D-Glucose,['3.2.1.186'],C08907;C00001,C20678;C00031,1.0;1.0,1.0;1.0
R10531,"ATP phosphohydrolase (ABC-type, tungstate-importing); ATP + H2O + Tungstate <=> ADP + Orthophosphate + Tungstate",C00002 + C00001 + C20679 <=> C00008 + C00009 + C20679,ATP + H2O + Tungstate <=> ADP + Orthophosphate + Tungstate,['7.3.2.6'],C00002;C00001;C20679,C00008;C00009;C20679,1.0;1.0;1.0,1.0;1.0;1.0
R10532,L-galactonate hydro-lyase (2-dehydro-3-deoxy-L-galactonate-forming); L-Galactonate <=> 2-Dehydro-3-deoxy-L-galactonate + H2O,C15930 <=> C20680 + C00001,L-Galactonate <=> 2-Dehydro-3-deoxy-L-galactonate + H2O,['4.2.1.146'],C15930,C20680;C00001,1.0,1.0;1.0
R10533,"geranylgeranyl-diphosphate diphosphate-lyase [(E,E)-geranyllinalool-forming]; Geranylgeranyl diphosphate + H2O <=> (E,E)-Geranyllinalool + Diphosphate",C00353 + C00001 <=> C20681 + C00013,"Geranylgeranyl diphosphate + H2O <=> (E,E)-Geranyllinalool + Diphosphate",['4.2.3.144'],C00353;C00001,C20681;C00013,1.0;1.0,1.0;1.0
R10534,carbon-disulfide hydrogen-sulfide-lyase (carbonyl-sulfide-forming); Carbon disulfide + H2O <=> Carbonyl sulfide + Hydrogen sulfide,C19033 + C00001 <=> C07331 + C00283,Carbon disulfide + H2O <=> Carbonyl sulfide + Hydrogen sulfide,['3.13.1.5'],C19033;C00001,C07331;C00283,1.0;1.0,1.0;1.0
R10535,carbonyl-sulfide hydrogen-sulfide-lyase (decarboxylating); Carbonyl sulfide + H2O <=> CO2 + Hydrogen sulfide,C07331 + C00001 <=> C00011 + C00283,Carbonyl sulfide + H2O <=> CO2 + Hydrogen sulfide,"['3.13.1.5', '3.13.1.7']",C07331;C00001,C00011;C00283,1.0;1.0,1.0;1.0
R10536,dTDP-alpha-D-fucopyranose furanomutase; dTDP-D-fucose <=> dTDP-alpha-D-fucofuranose,C07277 <=> C20682,dTDP-D-fucose <=> dTDP-alpha-D-fucofuranose,['5.4.99.59'],C07277,C20682,1.0,1.0
R10537,"RNA-3'-phosphate:RNA ligase (cyclizing, GMP-forming); GTP + RNA 3'-terminal-phosphate <=> GMP + Diphosphate + RNA terminal-2',3'-cyclic-phosphate",C00044 + C03638 <=> C00144 + C00013 + C04312,"GTP + RNA 3'-terminal-phosphate <=> GMP + Diphosphate + RNA terminal-2',3'-cyclic-phosphate",['6.5.1.5'],C00044;C03638,C00144;C00013;C04312,1.0;1.0,1.0;1.0;1.0
R10538,carbon-disulfide hydrogen-sulfide-lyase (decarboxylating); Carbon disulfide + 2 H2O <=> CO2 + 2 Hydrogen sulfide,C19033 + 2 C00001 <=> C00011 + 2 C00283,Carbon disulfide + 2 H2O <=> CO2 + 2 Hydrogen sulfide,['3.13.1.5'],C19033;C00001,C00011;C00283,1.0;2.0,1.0;2.0
R10539,"(R)-2-(4-chloro-2-methylphenoxy)propanoate,2-oxoglutarate:oxygen oxidoreductase (pyruvate-forming); Mecoprop-P + 2-Oxoglutarate + Oxygen <=> 4-Chloro-2-methylphenol + Pyruvate + Succinate + CO2",C18608 + C00026 + C00007 <=> C03359 + C00022 + C00042 + C00011,Mecoprop-P + 2-Oxoglutarate + Oxygen <=> 4-Chloro-2-methylphenol + Pyruvate + Succinate + CO2,['1.14.11.44'],C18608;C00026;C00007,C03359;C00022;C00042;C00011,1.0;1.0;1.0,1.0;1.0;1.0;1.0
R10540,"dammarenediol-II,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (12beta-hydroxylating); Dammarenediol-II + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Protopanaxadiol + [Oxidized NADPH---hemoprotein reductase] + H2O",C19829 + C03024 + C00007 <=> C20715 + C03161 + C00001,Dammarenediol-II + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Protopanaxadiol + [Oxidized NADPH---hemoprotein reductase] + H2O,['1.14.14.120'],C19829;C03024;C00007,C20715;C03161;C00001,1.0;1.0;1.0,1.0;1.0;1.0
R10541,Carbamoyl phosphate + ATP + H2O <=> Diphosphate + O-Carbamoyladenylate + Orthophosphate,C00169 + C00002 + C00001 <=> C00013 + C20684 + C00009,Carbamoyl phosphate + ATP + H2O <=> Diphosphate + O-Carbamoyladenylate + Orthophosphate,['6.1.2.2'],C00169;C00002;C00001,C00013;C20684;C00009,1.0;1.0;1.0,1.0;1.0;1.0
R10542,"(R)-2-(4-chloro-2-dichlorophenoxy)propanoate,2-oxoglutarate:oxygen oxidoreductase (pyruvate-forming); (R)-(2,4-Dichlorophenoxy)propanoate + 2-Oxoglutarate + Oxygen <=> 2,4-Dichlorophenol + Pyruvate + Succinate + CO2",C20685 + C00026 + C00007 <=> C02625 + C00022 + C00042 + C00011,"(R)-(2,4-Dichlorophenoxy)propanoate + 2-Oxoglutarate + Oxygen <=> 2,4-Dichlorophenol + Pyruvate + Succinate + CO2",['1.14.11.44'],C20685;C00026;C00007,C02625;C00022;C00042;C00011,1.0;1.0;1.0,1.0;1.0;1.0;1.0
R10543,"tobramycin:carbamoyl phosphate ligase (AMP,phosphate-forming); O-Carbamoyladenylate + Tobramycin <=> AMP + Nebramycin 5'",C20684 + C00397 <=> C00020 + C18001,O-Carbamoyladenylate + Tobramycin <=> AMP + Nebramycin 5',['6.1.2.2'],C20684;C00397,C00020;C18001,1.0;1.0,1.0;1.0
R10544,"kanamycin A:carbamoyl phosphate ligase (AMP,phosphate-forming); O-Carbamoyladenylate + Kanamycin A <=> AMP + 6''-O-Carbamoylkanamycin A",C20684 + C01822 <=> C00020 + C20699,O-Carbamoyladenylate + Kanamycin A <=> AMP + 6''-O-Carbamoylkanamycin A,['6.1.2.2'],C20684;C01822,C00020;C20699,1.0;1.0,1.0;1.0
R10545,aclacinomycin T acylhydrolase; Aclacinomycin T + H2O <=> 15-Demethylaclacinomycin T + Methanol,C18634 + C00001 <=> C20689 + C00132,Aclacinomycin T + H2O <=> 15-Demethylaclacinomycin T + Methanol,['3.1.1.95'],C18634;C00001,C20689;C00132,1.0;1.0,1.0;1.0
R10546,N7-methyl-GMP phosphohydrolase; 7-Methylguanosine 5'-phosphate + H2O <=> N7-Methylguanosine + Orthophosphate,C03998 + C00001 <=> C20674 + C00009,7-Methylguanosine 5'-phosphate + H2O <=> N7-Methylguanosine + Orthophosphate,['3.1.3.91'],C03998;C00001,C20674;C00009,1.0;1.0,1.0;1.0
R10547,kanosamine-6-phosphate phosphohydrolase; Kanosamine 6-phosphate + H2O <=> Kanosamine + Orthophosphate,C12213 + C00001 <=> C12212 + C00009,Kanosamine 6-phosphate + H2O <=> Kanosamine + Orthophosphate,['3.1.3.92'],C12213;C00001,C12212;C00009,1.0;1.0,1.0;1.0
R10548,"ATP:1D-myo-inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate 5-phosphotransferase; ATP + 1-Diphosinositol pentakisphosphate <=> ADP + 1D-myo-Inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate",C00002 + C11174 <=> C00008 + C20690,"ATP + 1-Diphosinositol pentakisphosphate <=> ADP + 1D-myo-Inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate",['2.7.4.21'],C00002;C11174,C00008;C20690,1.0;1.0,1.0;1.0
R10549,long-chain-aldehyde:NADP+ oxidoreductase (protein thioester-forming); Long-chain aldehyde + [Protein]-L-cysteine + NADP+ <=> [Protein]-S-(long-chain-acyl)-L-cysteine + NADPH + H+,C00609 + C02743 + C00006 <=> C03371 + C00005 + C00080,Long-chain aldehyde + [Protein]-L-cysteine + NADP+ <=> [Protein]-S-(long-chain-acyl)-L-cysteine + NADPH + H+,['1.2.1.50'],C00609;C02743;C00006,C03371;C00005;C00080,1.0;1.0;1.0,1.0;1.0;1.0
R10550,2-dehydro-3-deoxy-L-galactonate L-glyceraldehyde-lyase (pyruvate-forming); 2-Dehydro-3-deoxy-L-galactonate <=> Pyruvate + L-Glyceraldehyde,C20680 <=> C00022 + C02426,2-Dehydro-3-deoxy-L-galactonate <=> Pyruvate + L-Glyceraldehyde,['4.1.2.54'],C20680,C00022;C02426,1.0,1.0;1.0
R10551,"long-chain-aldehyde,FMNH2:oxygen oxidoreductase (1-hydroxylating, luminescing); Long-chain aldehyde + Reduced FMN + Oxygen <=> Long-chain fatty acid + hn + FMN + H2O",C00609 + C01847 + C00007 <=> C00638 + C00205 + C00061 + C00001,Long-chain aldehyde + Reduced FMN + Oxygen <=> Long-chain fatty acid + hn + FMN + H2O,['1.14.14.3'],C00609;C01847;C00007,C00638;C00205;C00061;C00001,1.0;1.0;1.0,1.0;1.0;1.0;1.0
R10552,"tRNA(Phe)-N1-methylguanine,pyruvate acetaldehyde-lyase [tRNA(Phe)-4-demethylwyosine-forming, decarboxylating, dehydrating]; N1-Methylguanine in tRNA(Phe) + Pyruvate + S-Adenosyl-L-methionine <=> 4-Demethylwyosine in tRNA(Phe) + L-Methionine + 5'-Deoxyadenosine + CO2 + H2O",C20688 + C00022 + C00019 <=> C20691 + C00073 + C05198 + C00011 + C00001,N1-Methylguanine in tRNA(Phe) + Pyruvate + S-Adenosyl-L-methionine <=> 4-Demethylwyosine in tRNA(Phe) + L-Methionine + 5'-Deoxyadenosine + CO2 + H2O,['4.1.3.44'],C20688;C00022;C00019,C20691;C00073;C05198;C00011;C00001,1.0;1.0;1.0,1.0;1.0;1.0;1.0;1.0
R10553,N-acetyl-L-cysteine-S-conjugate amidohydrolase (carboxylate-forming); S-Substituted N-acetyl-L-cysteine + H2O <=> S-Substituted L-cysteine + Acetate,C05727 + C00001 <=> C05726 + C00033,S-Substituted N-acetyl-L-cysteine + H2O <=> S-Substituted L-cysteine + Acetate,"['3.5.1.14', '3.5.1.114']",C05727;C00001,C05726;C00033,1.0;1.0,1.0;1.0
R10554,"N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase; N-Acetyl-D-glucosaminyldiphosphoundecaprenol <=> N-Acetyl-alpha-D-galactosaminyl-diphospho-ditrans,octacis-undecaprenol",C01289 <=> C20620,"N-Acetyl-D-glucosaminyldiphosphoundecaprenol <=> N-Acetyl-alpha-D-galactosaminyl-diphospho-ditrans,octacis-undecaprenol",['5.1.3.26'],C01289,C20620,1.0,1.0
R10555,"alpha-D-ribose 1,5-bisphosphate aldose-ketose-isomerase; D-Ribose 1,5-bisphosphate <=> D-Ribulose 1,5-bisphosphate",C01151 <=> C01182,"D-Ribose 1,5-bisphosphate <=> D-Ribulose 1,5-bisphosphate",['5.3.1.29'],C01151,C01182,1.0,1.0
R10556,"(2S,5S)-5-carboxymethylproline cyclo-ligase (AMP-forming); ATP + (2S,5S)-trans-Carboxymethylproline <=> AMP + Diphosphate + (3S,5S)-Carbapenam-3-carboxylic acid",C00002 + C17366 <=> C00020 + C00013 + C17367,"ATP + (2S,5S)-trans-Carboxymethylproline <=> AMP + Diphosphate + (3S,5S)-Carbapenam-3-carboxylic acid",['6.3.3.6'],C00002;C17366,C00020;C00013;C17367,1.0;1.0,1.0;1.0;1.0
R10557,"9-cis-beta-carotene:O2 oxidoreductase (9',10'-cleaving); 9-cis-beta-Carotene + Oxygen <=> 9-cis-10'-Apo-beta-carotenal + beta-Ionone",C20484 + C00007 <=> C20692 + C12287,9-cis-beta-Carotene + Oxygen <=> 9-cis-10'-Apo-beta-carotenal + beta-Ionone,['1.13.11.68'],C20484;C00007,C20692;C12287,1.0;1.0,1.0;1.0
R10558,"9-cis-10'-apo-beta-carotenal:O2 oxidoreductase (14,15-cleaving, carlactone-forming); 9-cis-10'-Apo-beta-carotenal + 2 Oxygen <=> Carlactone + (2E,4E,6E)-7-Hydroxy-4-methylhepta-2,4,6-trienal",C20692 + 2 C00007 <=> C20693 + C20694,"9-cis-10'-Apo-beta-carotenal + 2 Oxygen <=> Carlactone + (2E,4E,6E)-7-Hydroxy-4-methylhepta-2,4,6-trienal",['1.13.11.69'],C20692;C00007,C20693;C20694,1.0;2.0,1.0;1.0
R10559,"all-trans-beta-carotene:O2 oxidoreductase (9',10'-cleaving); beta-Carotene + Oxygen <=> all-trans-10'-Apo-beta-carotenal + beta-Ionone",C02094 + C00007 <=> C20695 + C12287,beta-Carotene + Oxygen <=> all-trans-10'-Apo-beta-carotenal + beta-Ionone,['1.13.11.71'],C02094;C00007,C20695;C12287,1.0;1.0,1.0;1.0
R10560,"all-trans-10'-apo-beta-carotenal:O2 oxidoreductase (13,14-cleaving); all-trans-10'-Apo-beta-carotenal + Oxygen <=> 13-Apo-beta-carotenone + (2E,4E,6E)-4-Methylocta-2,4,6-trienedial",C20695 + C00007 <=> C20696 + C20697,"all-trans-10'-Apo-beta-carotenal + Oxygen <=> 13-Apo-beta-carotenone + (2E,4E,6E)-4-Methylocta-2,4,6-trienedial",['1.13.11.70'],C20695;C00007,C20696;C20697,1.0;1.0,1.0;1.0
R10561,ATP:phosphomevalonate carboxy-lyase (adding ATP; isopentenyl-phosphate-forming); (R)-5-Phosphomevalonate + ATP <=> Isopentenyl phosphate + ADP + Orthophosphate + CO2,C01107 + C00002 <=> C20345 + C00008 + C00009 + C00011,(R)-5-Phosphomevalonate + ATP <=> Isopentenyl phosphate + ADP + Orthophosphate + CO2,['4.1.1.99'],C01107;C00002,C20345;C00008;C00009;C00011,1.0;1.0,1.0;1.0;1.0;1.0
R10562,"(6E,10E)-geranyllinalool,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase; (E,E)-Geranyllinalool + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (E,E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene + But-3-en-2-one + [Oxidized NADPH---hemoprotein reductase] + 2 H2O",C20681 + C03024 + C00007 <=> C20700 + C20701 + C03161 + 2 C00001,"(E,E)-Geranyllinalool + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (E,E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene + But-3-en-2-one + [Oxidized NADPH---hemoprotein reductase] + 2 H2O",['1.14.14.58'],C20681;C03024;C00007,C20700;C20701;C03161;C00001,1.0;1.0;1.0,1.0;1.0;1.0;2.0
